"country","population","life_expectancy","health_spend_pct_gdp","health_spend_per_person","medical_doctors_per_1000","maternal_mortality_rate","children_per_woman","child_mortality_rate","six_vacc_rate","continent","sub_region"
"Madagascar",21200000,61.7,0.0377,36.3,0.195,480,4.6,67.3,0.66,"Africa","Eastern Africa"
"Malawi",14500000,54.2,0.0659,65.4,0.019,540,5.31,88.4,0.86,"Africa","Eastern Africa"
"Malaysia",28200000,74.4,0.0439,641,1.17,31,2.15,7.94,0.95,"Asia","South-Eastern Asia"
"Maldives",366000,79.2,0.0633,464,1.44,38,2.23,13.8,,"Asia","Southern Asia"
"Mali",15000000,59.4,0.0498,55.6,0.102,600,6.55,131,0.72,"Africa","Western Africa"
"Malta",414000,80.4,0.0865,2260,2.15,8,1.39,6.81,,"Europe","Southern Europe"
"Marshall Islands",56400,63,0.181,377,0.567,,,38.9,0.92,"Oceania","Micronesia"
"Mauritania",3490000,68.2,0.0441,79,0.157,360,4.98,97.1,0.52,"Africa","Western Africa"
"Mauritius",1250000,74,0.06,803,1.2,72,1.58,15.2,0.99,"Africa","Eastern Africa"
"Mexico",114000000,75.2,,,2.24,47,2.34,17.4,0.93,"Americas","Central America"
"Micronesia, Fed. Sts.",103000,67,0.142,451,0.177,100,3.46,39.9,0.7,"Oceania","Micronesia"
"Moldova",4090000,69.8,0.117,360,2.38,41,1.27,17.2,0.63,"Europe","Eastern Europe"
"Mongolia",2720000,66,0.0544,218,2.76,74,2.64,26.1,0.96,"Asia","Eastern Asia"
"Montenegro",624000,76,0.0911,1160,2.04,7,1.77,6.44,0.9,"Europe","Southern Europe"
"Morocco",32300000,72.1,0.052,246,0.62,130,2.58,32,0.98,"Africa","Northern Africa"
"Mozambique",23500000,52,0.0521,48.7,0.0487,540,5.56,105,0.73,"Africa","Eastern Africa"
"Myanmar",50600000,64.8,0.0197,34.4,0.522,220,2.41,63.3,,"Asia","South-Eastern Asia"
"Namibia",2120000,59,0.0678,436,0.374,160,3.61,48.3,0.75,"Africa","Southern Africa"
"Nepal",27000000,69.2,0.0525,63,,220,2.61,46.8,,"Asia","Southern Asia"
"Netherlands",16700000,80.8,0.119,5040,2.95,7,1.8,4.46,,"Europe","Western Europe"
"New Zealand",4370000,80.7,0.101,3020,3.07,12,2.12,6.14,,"Oceania","Australia and New Zealand"
"Nicaragua",5820000,77.6,,,0.728,110,2.43,20.4,0.98,"Americas","Central America"
"Niger",16500000,59.1,0.0516,36.9,0.019,690,7.49,123,0.67,"Africa","Western Africa"
"Nigeria",159000000,60.5,0.0507,121,0.184,610,5.84,135,,"Africa","Western Africa"
"North Macedonia",2070000,75.9,0.0709,791,2.68,7,1.47,10.2,0.89,"Europe","Southern Europe"
"Norway",4890000,80.9,0.0948,5430,2.49,5,1.95,3.23,,"Europe","Northern Europe"
"Oman",3040000,75.2,0.0277,598,1.93,12,2.9,11.7,0.99,"Asia","Western Asia"
"Pakistan",179000000,64.3,0.022,58.7,0.808,190,3.86,87.5,0.52,"Asia","Southern Asia"
"Panama",3640000,78.2,0.081,1120,1.41,82,2.62,19.9,0.94,"Americas","Central America"
"Papua New Guinea",7310000,56.3,0.0358,87.7,0.0514,240,3.99,58.2,0.55,"Oceania","Melanesia"
"Paraguay",6250000,74.6,0.0587,302,,110,2.73,26,0.89,"Americas","South America"
"Peru",29000000,77.5,0.0508,481,0.92,100,2.55,20.1,0.92,"Americas","South America"
"Philippines",94000000,69.2,0.0361,142,1.27,120,3.16,32,0.01,"Asia","South-Eastern Asia"
"Poland",38300000,76.4,0.0746,1480,2.17,4,1.37,5.98,0.93,"Europe","Eastern Europe"
"Portugal",10600000,80,0.11,2820,3.98,11,1.33,3.87,0.96,"Europe","Southern Europe"
"Qatar",1860000,78,0.0181,1620,3.73,7,2.07,9,0.97,"Asia","Western Asia"
"Romania",20500000,73.7,0.0558,811,2.48,30,1.47,11.5,,"Europe","Eastern Europe"
"Russia",143000000,68.1,0.0508,998,2.39,31,1.57,10.3,,"Europe","Eastern Europe"
"Rwanda",10000000,64.3,0.105,121,0.055,390,4.52,63.5,0.93,"Africa","Eastern Africa"
"Samoa",186000,72.5,0.0647,283,0.344,62,4.34,18.7,0.56,"Oceania","Polynesia"
"Sao Tome and Principe",180000,68.9,0.0717,142,,230,4.79,45.4,0.92,"Africa","Middle Africa"
"Saudi Arabia",27400000,74.8,0.0429,968,2.41,16,2.96,12.1,0.98,"Asia","Western Asia"
"Senegal",12700000,65.9,0.0566,109,0.059,360,5.06,66.4,0.76,"Africa","Western Africa"
"Serbia",8990000,74.4,0.104,1170,2.48,14,1.58,7.61,0.89,"Europe","Southern Europe"
"Seychelles",91300,73.2,0.034,785,1.1,,2.36,14.1,0.99,"Africa","Eastern Africa"
"Sierra Leone",6420000,55.4,0.131,107,0.0212,1200,5.2,163,0.82,"Africa","Western Africa"
"Singapore",5130000,83.2,0.0396,2270,1.72,4,1.26,2.81,,"Asia","South-Eastern Asia"
"Slovak Republic",5400000,75.6,0.0879,2060,3.35,7,1.36,6.97,0.98,"Europe","Eastern Europe"
"Slovenia",2040000,79.5,0.0941,2550,2.44,8,1.52,3.21,,"Europe","Southern Europe"
